year,month,day,정석학술정보관,H-M MAIN,HO-M MAIN,HN-M MAIN,본관,5호남관,김현태 인하드림센터,"9호관,평생교육원",60주년,서호관,하이테크센터,로스쿨관,학생회관,"2호남관, 4호관",5호북관,"2호북관,2북신관",인하드림센터 3관,5호동관
2021,1,1,4863.0,2422.0,620.0,1598.0,135.0,626.0,81.0,856.0,783.0,144.0,283.0,203.0,237.0,460.0,173.0,460.0,38.0,641.0
2021,1,2,4618.0,2364.0,646.0,1580.0,130.0,618.0,81.0,860.0,857.0,154.0,295.0,214.0,204.0,426.0,174.0,426.0,46.0,631.0
2021,1,3,4653.0,2346.0,694.0,1549.0,128.0,637.0,92.0,832.0,825.0,162.0,294.0,213.0,269.0,449.0,180.0,449.0,26.0,628.0
2021,1,4,6365.0,2958.0,1000.0,2123.0,331.0,764.0,136.0,850.0,874.0,230.0,377.0,268.0,484.0,617.0,262.0,617.0,68.0,763.0
2021,1,5,6547.0,3238.0,1000.0,2099.0,325.0,818.0,160.0,1020.0,999.0,236.0,375.0,276.0,521.0,606.0,267.0,606.0,72.0,742.0
2021,1,6,6574.0,3179.0,1000.0,2151.0,332.0,766.0,161.0,1021.0,967.0,233.0,380.0,295.0,459.0,595.0,262.0,595.0,67.0,784.0
2021,1,7,6471.0,3088.0,1000.0,2184.0,336.0,852.0,161.0,944.0,832.0,254.0,402.0,262.0,508.0,639.0,263.0,639.0,69.0,775.0
2021,1,8,6677.0,3243.0,1000.0,2105.0,335.0,821.0,153.0,887.0,1000.0,250.0,397.0,301.0,534.0,599.0,271.0,599.0,60.0,759.0
2021,1,9,5704.0,2908.0,822.0,1767.0,170.0,845.0,109.0,981.0,896.0,153.0,334.0,245.0,317.0,525.0,194.0,525.0,39.0,731.0
2021,1,10,3714.0,1727.0,654.0,1210.0,135.0,279.0,81.0,424.0,974.0,150.0,327.0,167.0,240.0,324.0,199.0,324.0,32.0,342.0
2021,1,11,6229.0,2817.0,1000.0,2156.0,356.0,590.0,160.0,731.0,965.0,248.0,397.0,267.0,503.0,623.0,298.0,623.0,79.0,663.0
2021,1,12,5848.0,2688.0,999.0,2019.0,332.0,544.0,150.0,748.0,968.0,232.0,379.0,249.0,486.0,603.0,262.0,603.0,76.0,606.0
2021,1,13,5246.0,2481.0,916.0,1663.0,310.0,470.0,141.0,663.0,854.0,221.0,339.0,232.0,442.0,522.0,252.0,522.0,71.0,502.0
2021,1,14,5134.0,2370.0,951.0,1562.0,312.0,460.0,135.0,640.0,844.0,206.0,325.0,222.0,459.0,484.0,228.0,484.0,77.0,505.0
2021,1,15,4605.0,2134.0,837.0,1482.0,277.0,388.0,131.0,542.0,834.0,195.0,330.0,216.0,370.0,414.0,208.0,414.0,66.0,483.0
2021,1,16,3511.0,1630.0,679.0,1131.0,133.0,284.0,93.0,427.0,815.0,163.0,287.0,188.0,264.0,330.0,186.0,330.0,53.0,324.0
2021,1,17,3499.0,1612.0,643.0,1127.0,124.0,285.0,74.0,396.0,824.0,166.0,284.0,185.0,246.0,331.0,189.0,331.0,47.0,323.0
2021,1,18,5535.0,2571.0,999.0,1808.0,307.0,527.0,146.0,673.0,930.0,252.0,360.0,273.0,482.0,572.0,253.0,572.0,69.0,573.0
2021,1,19,5723.0,2733.0,1000.0,1758.0,338.0,563.0,149.0,715.0,953.0,245.0,360.0,256.0,487.0,530.0,244.0,530.0,72.0,606.0
2021,1,20,5407.0,2496.0,1000.0,1760.0,350.0,472.0,142.0,618.0,922.0,227.0,346.0,251.0,464.0,498.0,239.0,498.0,66.0,552.0
2021,1,21,5025.0,2396.0,877.0,1607.0,289.0,455.0,126.0,621.0,876.0,231.0,335.0,220.0,387.0,444.0,234.0,444.0,68.0,493.0
2021,1,22,4710.0,2147.0,796.0,1598.0,283.0,383.0,128.0,535.0,791.0,209.0,322.0,206.0,353.0,441.0,201.0,441.0,66.0,482.0
2021,1,23,2853.0,1324.0,505.0,966.0,108.0,209.0,67.0,371.0,713.0,139.0,254.0,144.0,176.0,271.0,154.0,271.0,42.0,241.0
2021,1,24,2672.0,1184.0,497.0,951.0,99.0,194.0,67.0,274.0,720.0,137.0,266.0,136.0,164.0,260.0,174.0,260.0,28.0,251.0
