,월,일,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상),,,,,,,,,,,,,,,,,,,,,
,1월,01일,3208,1254,585,1259,98,318,71,301,***,490,166,299,152,201,392,251,392,35,328,,,평균,최댓값,최솟값,,,,,,,,,,,,,,,,
,,02일,6001,2671,1000,2170,370,572,136,632,***,896,304,399,190,496,673,347,673,81,646,,2023년,579.5277778,9999,0,,,,,,,,,,,,,,,,
,,03일,5877,2566,998,1999,353,531,148,663,***,781,310,397,200,494,653,780,653,95,607,,,,,,,,,,,,,,,,,,,,,
,,04일,5661,2515,959,1986,423,525,145,643,***,825,299,406,228,447,598,322,598,76,624,,,,,,,,,,,,,,,,,,,,,
,,05일,5091,2172,857,1796,309,467,149,573,***,702,245,370,179,407,529,301,529,69,525,,,변압기 관리 코드,,,,,,,,,,,,,,,,,,
,,06일,3757,1778,624,1301,145,406,84,399,***,868,187,281,147,247,385,253,385,55,351,,,SH-4 특고압,H-M MAIN,HO-M MAIN,HN-M MAIN,H-1,H-2,H-3,H-4,H-5,H-6,H-7,HO-1,HO-2,HO-3,HN-1 (상),HN-1 (하),HN-2 (상),HN-2 (하),HN-3 (상)
,,07일,3651,1497,673,1409,112,386,75,386,***,552,194,320,168,326,429,265,429,46,349,,합계,379454,144894,61347,143730,15540,599895,600139,597403,0,601909,598922,601204,599885,601074,601290,310906,601290,598813,601763
,,08일,6660,2874,1000,2339,371,655,150,774,***,885,323,408,230,569,760,366,760,78,713,,평균,3131.5,1195.75,506.5,1186.25,128.25,4999.75,5000.75,4978,0,5016.5,4991,5010.25,4998.75,5008.75,5011.25,2508,5011.25,4990.25,5014.25
,,09일,6299,2744,1000,2262,380,602,156,727,***,867,303,401,302,529,725,356,725,77,663,,최댓값,7026,9987,1000,9988,998,674,161,828,0,1000,984,453,302,992,768,999,768,95,990
,,10일,6375,2911,1000,2204,349,621,136,742,***,1000,307,412,259,539,663,344,663,77,667,,최솟값,1811,0,100,100,0,0,0,0,0,0,0,145,10,12,213,0,213,0,0
,,11일,5772,2647,933,1965,356,609,138,574,***,910,284,358,178,473,638,298,638,81,621,,,,,,,,,,,,,,,,,,,,,
,,12일,5665,2457,1000,1882,330,548,114,559,***,843,275,369,252,477,591,281,591,67,578,,,,,,,,,,,,,,,,,,,,,
,,13일,3391,1356,677,1271,126,339,82,359,***,634,177,312,180,255,388,221,388,62,329,,,,,,,,,,,,,,,,,,,,,
,,14일,3453,1492,597,1316,110,379,76,360,***,573,198,319,136,205,417,234,417,69,322,,,,,,,,,,,,,,,,,,,,,
,,15일,6356,2713,1000,2221,396,611,146,669,***,856,322,400,221,548,734,323,734,80,643,,,,,,,,,,,,,,,,,,,,,
,,16일,6171,2674,1000,2158,373,587,148,678,***,898,293,389,175,544,718,330,718,67,676,,,,,,,,,,,,,,,,,,,,,
,,17일,6107,2615,1000,2121,371,533,131,665,***,861,286,386,159,582,701,339,701,68,629,,,,,,,,,,,,,,,,,,,,,
,,18일,5441,2359,921,1995,994,500,140,505,***,833,279,346,161,490,594,330,594,69,552,,,,,,,,,,,,,,,,,,,,,
,,19일,5113,2113,881,1813,318,440,107,513,***,712,222,334,182,429,541,311,541,73,521,,,,,,,,,,,,,,,,,,,,,
,,20일,3390,1419,629,1271,172,322,68,352,***,542,183,298,168,238,374,253,374,41,325,,,,,,,,,,,,,,,,,,,,,
,,21일,3389,1461,551,1305,111,329,73,379,***,594,178,305,120,209,420,248,420,55,343,,,,,,,,,,,,,,,,,,,,,
,,22일,6776,2868,1000,2442,369,652,148,762,***,874,329,432,267,626,757,336,757,83,794,,,,,,,,,,,,,,,,,,,,,
,,23일,7026,2987,1000,2414,394,674,158,775,***,900,328,453,243,698,768,369,768,89,729,,,,,,,,,,,,,,,,,,,,,
,,24일,6836,3105,1000,2315,998,583,161,823,***,998,314,433,233,664,706,343,706,90,750,,,,,,,,,,,,,,,,,,,,,
,,25일,6424,2834,1000,2305,391,623,156,691,***,831,314,437,183,645,688,340,688,88,723,,,,,,,,,,,,,,,,,,,,,
,,26일,6177,2685,1000,2034,364,577,145,687,***,818,284,441,192,567,622,308,622,82,572,,,,,,,,,,,,,,,,,,,,,
,,27일,3505,1493,676,1299,125,304,74,460,***,614,193,327,148,270,383,249,383,49,350,,,,,,,,,,,,,,,,,,,,,
,,28일,3547,1454,641,1367,116,293,83,427,***,531,205,309,147,275,413,242,413,59,377,,,,,,,,,,,,,,,,,,,,,
,,29일,6375,2699,1000,2243,380,549,148,664,***,998,314,386,208,566,655,355,655,80,668,,,,,,,,,,,,,,,,,,,,,
,,30일,6166,2705,1000,2047,432,484,148,639,***,947,275,370,240,524,604,315,604,75,635,,,,,,,,,,,,,,,,,,,,,
,,31일,5239,2235,947,1804,332,433,153,582,***,764,259,345,207,476,525,285,525,72,548,,,,,,,,,,,,,,,,,,,,,
,,평균값,3726,1460,581,1377,154,154,87,224,***,246,79,51,79,278,153,32,153,13,246,,,,,,,,,,,,,,,,,,,,,
,,최댓값,7026,3105,1000,2442,998,674,161,823,***,1000,329,453,302,698,768,780,768,95,794,,,,,,,,,,,,,,,,,,,,,
,,최솟값,2352,820,100,908,68,106,10,127,***,101,57,171,53,99,230,0,230,10,202,,,,,,,,,,,,,,,,,,,,,
,2월,01일,5797,2644,991,1866,346,492,138,629,***,946,269,350,202,499,580,294,580,69,570,,,,,,,,,,,,,,,,,,,,,
,,02일,5344,2251,961,1796,337,457,138,560,***,738,293,359,178,494,581,282,581,73,528,,,,,,,,,,,,,,,,,,,,,
,,03일,3253,1364,579,1231,164,298,84,341,***,594,173,295,128,237,385,229,385,45,348,,,,,,,,,,,,,,,,,,,,,
,,04일,3087,1266,561,1205,103,266,92,378,***,500,171,294,134,206,356,219,356,46,297,,,,,,,,,,,,,,,,,,,,,
,,05일,5537,2353,1000,1929,308,507,149,586,***,770,276,381,179,545,575,320,575,73,599,,,,,,,,,,,,,,,,,,,,,
